bulan,periode,stok,cuaca,penjualan
Januari,1,228,Cerah,163
September,2,305,Hujan,131
November,3,223,Mendung,103
Oktober,4,174,Mendung,205
Januari,5,306,Hujan,174
Januari,6,141,Hujan,166
Desember,7,319,Mendung,113
April,8,273,Mendung,201
Agustus,9,210,Hujan,116
Agustus,10,314,Hujan,193
Maret,11,230,Mendung,70
Oktober,12,186,Hujan,155
Maret,13,114,Mendung,179
Mei,14,251,Mendung,143
April,15,156,Cerah,99
Juli,16,265,Cerah,133
Desember,17,292,Cerah,98
Agustus,18,185,Cerah,178
Desember,19,159,Mendung,201
Februari,20,248,Mendung,76
November,21,291,Mendung,207
Juli,22,231,Mendung,130
Desember,23,193,Mendung,84
Desember,24,168,Mendung,139
Maret,25,174,Cerah,194
Januari,26,192,Hujan,105
September,27,172,Mendung,163
Juli,28,347,Cerah,99
Juli,29,303,Mendung,105
November,30,339,Mendung,89
Agustus,31,346,Mendung,205
Oktober,32,282,Hujan,109
Maret,33,229,Mendung,172
Februari,34,307,Mendung,96
Januari,35,343,Cerah,140
Mei,36,222,Hujan,86
April,37,194,Hujan,207
Oktober,38,142,Hujan,126
Agustus,39,142,Mendung,98
Juni,40,208,Cerah,127
Mei,41,305,Hujan,205
November,42,225,Hujan,105
November,43,226,Mendung,90
Juni,44,284,Mendung,148
Agustus,45,230,Hujan,165
Agustus,46,343,Hujan,211
Juni,47,298,Mendung,71
Maret,48,157,Cerah,155
Januari,49,279,Cerah,113
Januari,50,187,Hujan,162
Desember,51,229,Hujan,194
September,52,194,Cerah,203
November,53,226,Mendung,159
Desember,54,252,Cerah,136
Mei,55,243,Mendung,133
Oktober,56,296,Cerah,208
Juli,57,325,Cerah,116
Juni,58,316,Cerah,129
Februari,59,274,Mendung,70
Oktober,60,291,Cerah,180
November,61,341,Mendung,191
Maret,62,187,Cerah,94
April,63,276,Mendung,187
Desember,64,195,Mendung,169
Juli,65,106,Hujan,219
Oktober,66,220,Hujan,215
Agustus,67,238,Mendung,72
Maret,68,167,Hujan,166
Juli,69,257,Cerah,182
Februari,70,298,Mendung,212
Desember,71,341,Mendung,175
Januari,72,286,Cerah,112
April,73,275,Hujan,147
Januari,74,307,Hujan,84
September,75,243,Cerah,126
Juni,76,265,Cerah,113
Januari,77,226,Cerah,99
Desember,78,127,Hujan,136
Oktober,79,308,Mendung,151
Januari,80,141,Cerah,83
November,81,182,Cerah,95
Januari,82,258,Cerah,90
Maret,83,338,Hujan,73
Juni,84,151,Cerah,171
Agustus,85,299,Hujan,118
April,86,207,Hujan,132
Juni,87,129,Cerah,101
Januari,88,337,Cerah,203
Februari,89,175,Cerah,77
Mei,90,318,Mendung,73
November,91,348,Cerah,201
April,92,207,Cerah,115
Januari,93,245,Cerah,74
April,94,285,Mendung,202
Juni,95,195,Mendung,210
April,96,150,Hujan,152
September,97,193,Hujan,87
Februari,98,228,Mendung,126
Mei,99,217,Cerah,162
April,100,312,Cerah,137
Desember,101,147,Hujan,103
Agustus,102,204,Hujan,163
April,103,288,Hujan,215
Agustus,104,303,Hujan,199
Januari,105,182,Hujan,184
Mei,106,207,Mendung,97
September,107,315,Mendung,213
Februari,108,182,Cerah,76
April,109,267,Cerah,163
Desember,110,215,Hujan,173
Oktober,111,170,Cerah,130
Januari,112,222,Hujan,144
Juli,113,213,Hujan,104
Agustus,114,236,Mendung,189
April,115,314,Mendung,130
Juni,116,108,Mendung,133
Juni,117,261,Cerah,170
Juni,118,302,Hujan,140
November,119,233,Mendung,174
Juli,120,233,Cerah,134
Agustus,121,165,Mendung,157
Maret,122,104,Cerah,93
September,123,171,Hujan,126
Februari,124,109,Mendung,177
Mei,125,155,Hujan,102
Mei,126,301,Hujan,121
September,127,106,Mendung,151
Juli,128,272,Hujan,179
Februari,129,309,Hujan,164
Mei,130,235,Mendung,142
September,131,346,Hujan,150
Januari,132,174,Hujan,184
Desember,133,120,Hujan,79
Agustus,134,284,Cerah,109
Oktober,135,296,Cerah,115
September,136,134,Hujan,212
Juli,137,104,Hujan,181
Agustus,138,287,Cerah,126
Oktober,139,129,Hujan,187
Mei,140,143,Hujan,156
Juli,141,262,Cerah,117
Juli,142,298,Hujan,115
Maret,143,145,Hujan,143
Oktober,144,110,Hujan,129
April,145,166,Hujan,153
April,146,274,Cerah,100
Juli,147,305,Mendung,173
Desember,148,224,Hujan,208
Juni,149,184,Hujan,90
April,150,227,Cerah,154
Mei,151,297,Mendung,135
Juli,152,141,Mendung,145
Februari,153,330,Cerah,190
Januari,154,309,Mendung,149
Desember,155,316,Cerah,103
Maret,156,207,Cerah,217
April,157,238,Mendung,192
Maret,158,287,Cerah,172
Agustus,159,165,Hujan,85
Mei,160,127,Cerah,125
Desember,161,298,Mendung,94
November,162,228,Hujan,213
Oktober,163,296,Cerah,103
Juni,164,227,Hujan,112
Mei,165,270,Mendung,218
Juni,166,301,Cerah,151
Agustus,167,116,Cerah,169
Maret,168,183,Mendung,139
Juli,169,277,Mendung,74
Juni,170,247,Cerah,178
Maret,171,329,Mendung,141
Desember,172,335,Hujan,177
Maret,173,185,Cerah,181
Juli,174,294,Hujan,75
Maret,175,109,Mendung,92
Maret,176,193,Hujan,205
Desember,177,143,Cerah,212
April,178,325,Mendung,193
November,179,281,Hujan,86
Agustus,180,243,Hujan,108
Juni,181,343,Mendung,120
Juni,182,220,Cerah,200
September,183,143,Cerah,183
Oktober,184,307,Mendung,169
Maret,185,142,Cerah,181
Februari,186,254,Hujan,115
Januari,187,155,Hujan,109
September,188,317,Cerah,143
Juni,189,343,Cerah,115
Juli,190,282,Mendung,134
Februari,191,256,Mendung,134
Desember,192,255,Mendung,180
Desember,193,324,Hujan,198
Februari,194,211,Hujan,169
Februari,195,255,Cerah,162
Januari,196,226,Hujan,84
Oktober,197,272,Cerah,141
November,198,114,Cerah,187
November,199,343,Hujan,84
Juli,200,256,Mendung,163
November,201,163,Cerah,132
Agustus,202,301,Cerah,74
Januari,203,174,Hujan,203
Desember,204,194,Hujan,89
Juli,205,101,Cerah,130
Agustus,206,227,Mendung,155
September,207,288,Cerah,178
Desember,208,167,Cerah,151
Juni,209,221,Mendung,113
Februari,210,339,Cerah,148
Juli,211,346,Cerah,75
September,212,303,Hujan,199
April,213,189,Hujan,176
Mei,214,164,Mendung,80
April,215,287,Cerah,209
November,216,142,Cerah,82
September,217,101,Mendung,179
Juni,218,191,Mendung,103
April,219,249,Cerah,174
Desember,220,345,Cerah,145
Juli,221,297,Mendung,199
Januari,222,167,Hujan,198
Februari,223,257,Cerah,199
Juli,224,173,Cerah,161
Agustus,225,271,Cerah,191
Juni,226,296,Cerah,84
November,227,222,Mendung,124
Juni,228,267,Mendung,107
September,229,295,Hujan,161
Oktober,230,335,Mendung,147
Juni,231,276,Hujan,131
Desember,232,258,Cerah,140
Februari,233,223,Mendung,210
November,234,267,Mendung,70
Agustus,235,333,Mendung,187
Juli,236,188,Cerah,206
Mei,237,225,Hujan,80
Juli,238,308,Hujan,77
November,239,242,Hujan,99
Februari,240,155,Hujan,115
Maret,241,268,Cerah,158
Desember,242,309,Cerah,144
Januari,243,335,Hujan,120
Februari,244,210,Hujan,111
November,245,121,Hujan,135
Juli,246,338,Hujan,97
Juli,247,341,Hujan,131
